Time (s),Temp (C),Degree of Cure,Cure Rate
188.0202,90.13,0.052914992,0.000433557
189.0198,90.1299,0.053344854,0.000434378
190.02,90.1303,0.053775789,0.000435201
191.0202,90.1304,0.0542075,0.000435985
192.0198,90.1304,0.05463977,0.00043681
193.02,90.1303,0.055073162,0.000437683
194.0202,90.1305,0.055507339,0.000438475
195.0198,90.1306,0.055942,0.000439227
196.02,90.1307,0.056377659,0.000439972
197.0202,90.1306,0.056814089,0.00044075
198.0198,90.1306,0.05725111,0.000441612
199.02,90.1302,0.057689174,0.0004424
200.0202,90.1306,0.058128072,0.000443243
201.0198,90.1305,0.058567439,0.000443983
202.02,90.1307,0.059007885,0.000444805
203.0202,90.1308,0.059449199,0.000445683
204.0198,90.131,0.059891015,0.000446457
205.02,90.1308,0.060333899,0.000447268
206.0202,90.1307,0.060777557,0.00044805
207.0198,90.1309,0.061221715,0.000448824
208.02,90.131,0.061666899,0.00044959
209.0202,90.1306,0.06211291,0.000450426
210.0198,90.1312,0.062559483,0.000451265
211.02,90.1314,0.063007061,0.000452008
212.0202,90.1313,0.063455452,0.000452831
213.0198,90.1313,0.063904424,0.000453688
214.02,90.1316,0.064354428,0.000454458
215.0202,90.1315,0.064805183,0.000455217
216.0198,90.1315,0.065256475,0.000456033
217.02,90.1316,0.065708866,0.000456869
218.0202,90.1319,0.066162092,0.000457712
219.0198,90.132,0.066615932,0.000458608
220.02,90.132,0.06707092,0.000459493
221.0202,90.1319,0.067526803,0.000460395
222.0198,90.1322,0.067983355,0.000461349
223.02,90.1319,0.068441131,0.000462307
224.0202,90.1325,0.068899812,0.000463221
225.0198,90.1325,0.069359143,0.000464157
226.02,90.1328,0.069819729,0.000465145
227.0202,90.1329,0.070281274,0.000466114
228.0198,90.1328,0.070743504,0.000467085
229.02,90.1328,0.071207002,0.000468086
230.0202,90.133,0.071671579,0.000469175
231.0198,90.1335,0.072136947,0.000470257
232.02,90.1331,0.07260367,0.000471343
233.0202,90.133,0.073071578,0.00047254
234.0198,90.1335,0.073540297,0.000473643
235.02,90.1335,0.074010443,0.0004748
236.0202,90.1339,0.07448178,0.000476003
237.0198,90.134,0.07495403,0.000477212
238.02,90.1341,0.075427732,0.000478391
239.0202,90.1339,0.075902697,0.000479667
